Voxel count,Max Feret Diameter (nm),Distance,Contact_Type,Distance to closest DSM (nm)
1051.0,164.1435164447833,12nm,ER-KRT,245.17748897778802
1123.0,157.80621077720718,12nm,ER-KRT,2643.0589059600607
1310.0,160.09894232880436,12nm,ER-KRT,2099.5123577449704
1403.0,192.66500390851357,12nm,ER-KRT,1071.64919427305
1447.0,154.31530072506249,12nm,ER-KRT,3571.126399037894
1492.0,177.52282829138738,12nm,ER-KRT,2194.367425545352
1509.0,213.70585378066164,12nm,ER-KRT,528.4997541821213
1524.0,245.5282513670681,12nm,ER-KRT,2427.196022836142
1561.0,196.35211129092616,12nm,ER-KRT,666.5733280897257
1915.0,199.5585586880586,12nm,ER-KRT,69.85700196082689
1978.0,193.65452989918603,12nm,ER-KRT,298.6369054269744
2034.0,340.37626084505484,12nm,ER-KRT,2327.0890778803728
2058.0,221.71108029415404,12nm,ER-KRT,625.7667450881854
3806.0,355.0221579463716,12nm,ER-KRT,2296.33110393479
3832.0,323.106795589758,12nm,ER-KRT,2857.752861018525
1.0,6.928112680486154,16nm,ER-KRT,646.6158311013714
1.0,6.9280474970431385,16nm,ER-KRT,83.61818260027577
1.0,6.9280474970431385,16nm,ER-KRT,2447.741735522868
1.0,6.928178543282281,16nm,ER-KRT,151.1026113121261
1.0,6.928112680486154,16nm,ER-KRT,130.65985626781185
1.0,6.928080428441202,16nm,ER-KRT,602.4749268362939
1.0,6.928113359839265,16nm,ER-KRT,239.2989699728787
1.0,6.9280474970431385,16nm,ER-KRT,57.271282827287
1.0,6.928179222635396,16nm,ER-KRT,2604.359451652272
1.0,6.928211474680346,16nm,ER-KRT,327.9512270637497
1.0,6.928080428441202,16nm,ER-KRT,342.3448617922986
1.0,6.9280474970431385,16nm,ER-KRT,708.0903969836072
1.0,6.928112680486154,16nm,ER-KRT,877.2502724241349
1.0,6.9280474970431385,16nm,ER-KRT,2123.9548004814424
1.0,6.92806396274217,16nm,ER-KRT,687.3834763609921
1.0,6.92806396274217,16nm,ER-KRT,798.0476084412658
1.0,6.928080428441202,16nm,ER-KRT,343.0218669109309
1.0,6.928146291237329,16nm,ER-KRT,351.2036528263707
1.0,6.928146291237329,16nm,ER-KRT,356.6286750356085
1.0,6.928146291237329,16nm,ER-KRT,341.7133314087551
1.0,6.928080428441202,16nm,ER-KRT,187.65926768082866
1.0,6.928178543282282,16nm,ER-KRT,111.28341981248013
1.0,6.9280474970431385,16nm,ER-KRT,435.981661439655
1.0,6.928080428441202,16nm,ER-KRT,178.9301506960328
1.0,6.928129146185186,16nm,ER-KRT,677.9970362913446
1.0,6.928112680486154,16nm,ER-KRT,134.46188518173585
1.0,6.928113359839267,16nm,ER-KRT,714.266036538902
1.0,6.928113359839265,16nm,ER-KRT,162.48075951352806
1.0,6.9280474970431385,16nm,ER-KRT,2640.60895460716
1.0,6.9280474970431385,16nm,ER-KRT,2418.5251277231146
1.0,6.9280474970431385,16nm,ER-KRT,2292.4048153072363
1.0,6.928178543282282,16nm,ER-KRT,173.20508050033825
1.0,6.9280474970431385,16nm,ER-KRT,2644.0484361955896
1.0,6.928080428441202,16nm,ER-KRT,200.9975048622437
1.0,6.928112680486154,16nm,ER-KRT,97.40636386368352
1.0,6.928113359839267,16nm,ER-KRT,103.84604109958673
1.0,6.928112680486154,16nm,ER-KRT,101.27190819275712
1.0,6.9280474970431385,16nm,ER-KRT,105.75443099014593
1.0,6.928146291237329,16nm,ER-KRT,148.91608657308097
1.0,6.928112680486154,16nm,ER-KRT,2508.867510186974
1.0,6.9280474970431385,16nm,ER-KRT,124.96398937855705
1.0,6.9280474970431385,16nm,ER-KRT,96.24967134413964
1.0,6.928245085431523,16nm,ER-KRT,103.22790444661226
1.0,6.928112680486154,16nm,ER-KRT,2444.589199512848
1.0,6.9280474970431385,16nm,ER-KRT,92.08691409412496
1.0,6.928112680486154,16nm,ER-KRT,316.3289363783406
1.0,6.928113359839267,16nm,ER-KRT,126.49110203710734
1.0,6.9280474970431385,16nm,ER-KRT,233.5465723035668
1.0,6.9280474970431385,16nm,ER-KRT,162.43151890193985
1.0,6.9280474970431385,16nm,ER-KRT,2245.368705189321
1.0,6.9280474970431385,16nm,ER-KRT,648.5553285529022
1.0,6.9280474970431385,16nm,ER-KRT,2646.1443667358253
1.0,6.928113359839267,16nm,ER-KRT,75.2595497033326
1.0,6.928113359839265,16nm,ER-KRT,153.98701691538008
1.0,6.928096894140233,16nm,ER-KRT,292.1369457453693
1.0,6.92806396274217,16nm,ER-KRT,139.19770935899578
1.0,6.9280474970431385,16nm,ER-KRT,2729.574362092535
1.0,6.928178543282282,16nm,ER-KRT,57.8273287032971
1.0,6.928080428441202,16nm,ER-KRT,265.51083465165
1.0,6.9280474970431385,16nm,ER-KRT,402.6114766020328
1.0,6.928112680486154,16nm,ER-KRT,638.8614792740555
1.0,6.9280474970431385,16nm,ER-KRT,2081.9261408178136
1.0,6.928113359839267,16nm,ER-KRT,77.66595189195868
1.0,6.928145611884218,16nm,ER-KRT,726.746179680049
1.0,6.928145611884218,16nm,ER-KRT,517.2543069420499
1.0,6.928145611884218,16nm,ER-KRT,664.8307930845476
1.0,6.928639582855181,16nm,ER-KRT,2650.599981279811
1.0,6.928080428441202,16nm,ER-KRT,445.6725264390116
1.0,6.92806396274217,16nm,ER-KRT,519.8615440349386
1.0,6.928244406078411,16nm,ER-KRT,295.51310376518813
1.0,6.928113359839267,16nm,ER-KRT,93.38093320820917
1.0,6.928112680486154,16nm,ER-KRT,565.9398993884679
1.0,6.928113359839267,16nm,ER-KRT,107.70329339493401
1.0,6.9280474970431385,16nm,ER-KRT,104.1537345258803
1.0,6.928145611884218,16nm,ER-KRT,734.661796286673
1.0,6.928112680486154,16nm,ER-KRT,104.99523739326833
1.0,6.928113359839267,16nm,ER-KRT,104.76640710521681
