 ,Label,Area,Mean,Min,Max,%Area
148,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0148-0776:1,0.123,0.000,0,0,0.000
149,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0149-0780:1,0.330,219.038,0,255,85.897
150,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0150-0780:1,0.114,255.000,255,255,100.000
151,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0151-0780:1,0.101,42.500,0,255,16.667
152,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0152-0785:1,0.114,255.000,255,255,100.000
153,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0153-0787:1,0.139,255.000,255,255,100.000
154,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0154-0785:1,0.025,0.000,0,0,0.000
155,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0155-0791:1,0.017,255.000,255,255,100.000
156,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0156-0793:1,0.114,66.111,0,255,25.926
157,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0157-0791:1,0.017,0.000,0,0,0.000
158,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0158-0793:1,0.034,255.000,255,255,100.000
159,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0159-0795:1,0.106,255.000,255,255,100.000
160,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0160-0796:1,0.106,142.800,0,255,56.000
161,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0161-0795:1,0.017,255.000,255,255,100.000
162,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0162-0795:1,0.059,182.143,0,255,71.429
163,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0163-0799:1,0.089,255.000,255,255,100.000
164,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0164-0798:1,0.021,255.000,255,255,100.000
165,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0165-0800:1,0.025,255.000,255,255,100.000
166,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0166-0806:1,0.127,255.000,255,255,100.000
167,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0167-0807:1,0.177,18.214,0,255,7.143
