 ,Label,Area,Mean,Min,Max,%Area
211,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0211-0722:1,0.106,0.000,0,0,0.000
212,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0212-0722:1,0.097,221.739,0,255,86.957
213,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0213-0726:1,0.123,255.000,255,255,100.000
214,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0214-0726:1,0.093,23.182,0,255,9.091
215,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0215-0729:1,0.123,123.103,0,255,48.276
216,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0216-0729:1,0.110,0.000,0,0,0.000
217,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0217-0731:1,0.232,60.273,0,255,23.636
218,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0218-0733:1,0.127,246.500,0,255,96.667
219,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0219-0735:1,0.334,96.835,0,255,37.975
220,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0220-0732:1,0.017,255.000,255,255,100.000
221,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0221-0735:1,0.097,199.565,0,255,78.261
222,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0222-0737:1,0.017,255.000,255,255,100.000
223,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0223-0740:1,0.123,0.000,0,0,0.000
224,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0224-0741:1,0.127,229.500,0,255,90.000
225,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0225-0741:1,0.118,255.000,255,255,100.000
226,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0226-0743:1,0.224,255.000,255,255,100.000
227,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0227-0745:1,0.097,155.217,0,255,60.870
