 ,Label,Area,Mean,Min,Max,%Area
106,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0106-0299:1,0.194,210.652,0,255,82.609
107,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0107-0300:1,0.034,255.000,255,255,100.000
108,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0108-0307:1,0.021,255.000,255,255,100.000
109,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0109-0309:1,0.118,255.000,255,255,100.000
110,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0110-0311:1,0.080,0.000,0,0,0.000
111,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0111-0318:1,0.101,223.125,0,255,87.500
112,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0112-0322:1,0.093,255.000,255,255,100.000
113,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0113-0326:1,0.334,106.519,0,255,41.772
114,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0114-0324:1,0.106,0.000,0,0,0.000
115,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0115-0326:1,0.118,100.179,0,255,39.286
116,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0116-0326:1,0.169,197.625,0,255,77.500
117,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0117-0330:1,0.152,247.917,0,255,97.222
118,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0118-0331:1,0.118,0.000,0,0,0.000
119,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0119-0331:1,0.055,156.923,0,255,61.538
120,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0120-0334:1,0.131,0.000,0,0,0.000
121,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0121-0334:1,0.152,240.833,0,255,94.444
